Name	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes
DENND1B	-0.6	4.73876783680019	4.26303440583379	0.137503523749935	2.03562390973072	4.35755200461808	3.43295940727611	-0.3	3.1699250014423104	3.77610398807316	2.8073549220576	3.76553474636298	-0.4	3.0531113364595597	-0.1	0.0	3.5969351423872298	4.32912359629157	1.37851162325373	3.62058641045188	2.20163386116965	0.0	3.7970129778361406	3.86789646399266	4.5849625007211605	4.60880924267552	1.20163386116965	4.112700132749359	4.452858964713809	4.65535182861255	3.78659636189081	1.32192809488736	2.13750352374994	4.30742852519225	4.07895134139482	3.76553474636298	1.26303440583379	1.67807190511264	0.37851162325373	2.8073549220576	1.67807190511264	2.8479969065549504	4.32192809488736
B4GALNT2	2.20163386116965	4.9818526532897405	4.94016675048282	5.01346225980656	6.1538053360790395	5.08321336824898	4.46597446450407	5.872828759534889	5.875288598222691	5.86542397831313	6.29094040240368	6.669593751188331	4.34340782229781	5.3469568893788795	6.85549144310187	6.14974711950468	4.0089887832272595	4.60880924267552	6.6395215995108305	2.23266075679027	1.26303440583379	4.977279923499919	4.29278174922785	5.244125943283731	5.12515513132229	4.2016338611696495	3.4724877714627405	6.0400156788478805	5.15380533607904	3.92599941855622	4.85798099512757	4.70597790168252	4.02680005934372	5.81762325751143	5.7279204545632005	4.90689059560852	1.88752527074159	5.8073549220576	5.15785216914174	3.6322682154995096	2.51096191927738	4.73876783680019	2.8875252707415897
PDE8A	7.36369674483899	6.68088692071969	8.35843142862635	7.71836162613835	8.20506011054465	7.688600010999121	7.536830005048059	7.5274770060604	7.03342300153745	7.82654848729092	6.6582114827518	7.06931549454008	6.88508622529017	7.6582114827518	7.8073549220576	7.36544758855011	7.44625622988956	7.69974594797101	7.88508622529017	7.253611151947171	7.456149034648	7.6582114827518	7.9086928382425	8.143128072943808	7.124121311829191	7.60139939053183	7.799605422452671	8.02901108665907	7.197708157955849	7.85486838326024	7.286326727090549	7.66106547980695	7.15583017155653	7.66888498426625	7.492654371018911	8.51924309436118	7.745506265869159	8.2588015567116	7.52042224852645	7.51648798090997	6.888743248898259	7.57818396809009	7.322829497628889
SUOX	5.49505552836802	6.568336182133749	6.191799501065081	6.104336659814741	6.03121873061072	6.25927248703759	5.104336659814741	6.20163386116965	5.9864109352520405	5.614709844115209	6.76022094646651	6.52669484554198	5.593951283948411	5.875288598222691	6.23266075679027	6.3019533951261	5.35049724708413	6.41953889151378	5.90207357931074	5.48220292629596	5.395748328179031	6.187846909439571	5.456149034648	6.29094040240368	5.9864109352520405	5.5109619192773796	6.17592374206376	5.68088692071969	5.96347412397489	5.378511623253731	5.08746284125034	5.7681843247769296	5.42290574261218	6.024585638278269	6.215290305651231	6.20163386116965	5.90207357931074	6.4982508675278305	6.16188768237689	6.035623909730719	5.94485844580754	6.10643207781693	5.62935662007961
WFDC2	4.8124982253335595	2.78659636189081	2.72246602447109	1.26303440583379	0.37851162325373	4.69488019279919	1.0703893278914	2.03562390973072	2.37851162325373	2.4329594072761096	2.78659636189081	1.0	4.06177619758669	4.16992500144231	0.0	2.60880924267552	2.0	1.32192809488736	0.8479969065549499	1.0	2.51096191927738	2.96347412397489	0.584962500721156	3.2927817492278497	3.68929916053589	1.13750352374994	2.26303440583379	1.26303440583379	2.29278174922785	5.07895134139482	3.0531113364595597	4.49825086752783	4.60880924267552	1.76553474636298	4.32912359629157	1.8073549220576	2.56071495447448	5.46597446450407	0.584962500721156	1.72246602447109	3.0179219079972595	0.485426827170242	3.2479275134435897
PTK6	8.55343730575441	8.637349410833139	8.57893871309339	8.59544398458948	8.74416109557041	8.70390357344466	7.7488637145357	8.537218400538599	8.54650866097081	7.8678964639926505	8.74718596688658	9.14363830992204	7.5461227588578	8.412781525338481	8.686500527183219	7.58871463558226	7.28169825009883	8.278914019499942	8.89905475619442	8.56719556140687	8.84329297333358	8.28123458464702	9.03287224946323	7.42038134119664	7.80219321694183	7.75888943272096	8.46025109894385	8.26303440583379	8.50937914891469	8.53099149023663	7.33806779754262	8.17292748960384	8.21383328309929	8.52982094652869	8.625343557572991	8.47411151394241	8.71046207397916	8.70666868217975	8.41320478925258	8.0389189892923	7.68299458368168	8.67207169690516	8.51963625284321
STK38	8.192785959251129	8.051480865341329	8.49385544924082	7.9442728176116	8.75755668893945	8.24031432933371	8.11582397743624	8.34784279363816	8.28493974248679	7.751544059089099	7.86542397831313	8.453682185872179	8.0869323411374	8.85206127927917	8.700439718141089	8.22448410023199	7.972118218384139	8.52943055414615	8.21819994369474	8.24079133216196	8.37590826307501	8.30879406721648	8.66640155434373	8.42919748847991	7.64241277290506	8.11997860965488	8.37981154378699	8.278914019499942	8.4093909361377	8.69313843834293	7.844862655830821	8.30286736097287	8.77840572423918	7.825912798784981	8.65320336203398	8.994070527741199	8.17642251304224	8.1853710292354	8.34118521356844	8.10328780841202	7.48220292629596	8.13750352374993	8.29966594413018
KDM1B	4.8678964639926505	5.38543103719352	6.48220292629596	6.14159627838382	6.73741636593706	5.7892075753473495	4.95419631038688	5.5999128421871305	5.5109619192773796	5.52669484554198	6.323730337521349	5.958842675243241	5.2364926183813	5.354028938054389	5.86046625851717	5.31469652565629	5.84799690655495	5.11270013274936	6.57893871309339	6.053111336459559	5.746850183098051	5.0746766862945005	5.8201789624151905	5.56071495447448	4.85798099512757	5.529820946528701	6.44956137461324	6.51727569320958	5.875288598222691	5.378511623253731	4.08746284125034	5.5668151540109	5.99548451887751	5.03121873061072	5.20163386116965	5.590961241342599	5.62643913669732	6.0156938071051504	5.799605422452671	4.82273014794452	6.06824086131282	5.6752513860502605	3.9354597478052904
ADPRHL1	4.82273014794452	5.20554891117303	2.8875252707415897	4.47248777146274	6.04657836662033	4.711494906650089	3.86789646399266	4.99548451887751	6.00898878322726	5.0574502721839005	6.65248649491816	4.07895134139482	4.70597790168252	4.711494906650089	5.59693514238723	4.78135971352466	5.649615459063409	5.1699250014423095	5.41616416473313	5.563768278452031	5.799605422452671	4.91169158187234	6.4262647547021	4.25550073314839	5.41616416473313	5.73063995591679	2.9448584458075397	6.65963918701565	5.63226821549951	5.18586654531133	3.54843662469604	2.8479969065549504	5.2364926183813	5.746850183098051	4.92124588858559	4.90207357931074	5.35049724708413	3.73335434061383	3.0179219079972595	2.8073549220576	4.897240425574799	5.15785216914174	4.807354922057599
FAM117B	5.32553033156756	6.4093909361377	5.74146698640115	6.02014657311178	6.00674683244059	6.12928301694497	5.48220292629596	6.22689381357139	6.311067102255599	5.15785216914174	6.23457795978457	6.2364926183813	5.894817763307941	5.94485844580754	5.49185309632967	6.28540221886225	6.35931031689044	6.5698556083309505	5.62058641045188	5.708739041359579	6.04220656012069	5.94485844580754	6.02236781302845	6.49984588708321	4.74416109557041	5.90207357931074	6.57288966842058	6.66106547980695	5.97727992349992	5.643856189774719	6.38887833881199	5.84297883178833	5.646738698307849	6.07681559705083	5.882643049361839	6.06824086131282	5.47897180503294	5.949534933017009	5.614709844115209	5.73063995591679	6.08746284125034	6.432959407276111	5.617651119427331
