Name	No	No	No	No	No	No	No	No	No	No	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes
DENND1B	5.98513167167833	6.56100853749421	6.286461729672951	5.79202439243409	4.118899223581249	3.93788633686538	6.785296710808151	5.04461072594325	6.021493763414611	5.98550696522501	6.73246546703619	6.218883051618169	6.15209633136176	5.4565002996264	3.5889925655558104	6.163071475911161	3.4912281778718595	3.8583867830935095	6.53003382202263	5.33972104512006	6.372416349174641	3.9319391457887596	3.96839585208759
B4GALNT2	6.959035477855919	7.925766118515639	8.31045344025697	7.34236322260739	7.72277408074479	7.04868908234391	7.515136872419549	7.286854679043231	7.87387381168173	7.75660701777033	7.39567153946298	7.75467539704308	7.43225591360219	7.53405764042189	7.97427120804917	7.62454872751609	7.2700245089482705	6.9768899080271	7.94626396118126	8.03714608437279	5.9850648692122	7.5743632378016	8.134029545065
PDE8A	9.03052906951806	8.68089397950272	9.32931855778986	8.84003103728262	8.45156920200496	8.3629881480197	8.597040363629201	8.99929194484902	8.75403319718396	9.52019974319868	9.117512320545151	9.549091339823448	9.50935955125015	9.532050643658769	8.96022868389098	9.685102722658401	9.872057188402179	8.645222377230821	8.65150854045418	9.13605504776876	8.790470505631701	8.868184084995779	9.785132540197461
SUOX	8.576302228829888	8.00632145516035	7.94002874798728	7.97623764647475	7.91492942035252	7.77146408180614	7.7889148390009595	8.12801635188312	8.4936629596714	7.30408946101476	7.23465928870661	7.821080173768129	8.28555687025573	7.6149325466528	8.084935031209211	8.43593052256142	8.05430621429548	8.17817275206543	8.12981518050934	8.19284166415166	8.09379520657679	7.66438727856438	8.16240746268034
WFDC2	3.34260309998182	3.250511115647	5.0547636228515	3.6840159450044103	3.2538982253693396	5.9903230893295705	4.64908760052111	4.2748838617190295	4.370694031856851	4.23731498799961	3.44268664010225	3.56797480942074	3.0785580893795	5.267804836355809	3.8842037388784503	5.32062413901815	2.5223166865903797	4.56166077111624	4.8682369393690195	3.57295731589615	3.83466783723188	5.6209898394823705	4.62925198446304
PTK6	10.894160807892499	10.456012306934301	10.6214214391451	10.116618096638101	10.443118203723401	10.2638776487123	8.88846233734925	10.5246605517781	10.3545790965194	10.749243701618301	9.269998689559259	10.7767653346842	9.74303076326639	10.1036315026784	10.1842211356669	10.851862251062201	10.6761907156205	9.97933264551259	10.014910455788302	10.422122013321301	10.4065178694017	10.4313941788519	10.491463766608401
STK38	9.540311943833	9.34295901792783	9.65688077940171	9.77097777170356	9.4209515815044	8.91144163787077	9.20122834268011	9.411774225122	9.42395735170741	10.0371893271732	9.437253113131	9.65959735752856	9.43134367584249	9.74834161397389	9.88277699065415	9.99501499279455	9.74713067706617	9.51341461164924	9.172136454944251	9.74265914744158	9.542637289784	9.6310740057566	9.80808463168476
KDM1B	7.952395558752719	7.766496251311421	8.07591813263429	7.684165822211139	7.650831753141169	6.999964743709151	7.727439085755741	7.70233303902177	7.43245511894081	7.63570771765526	7.58797752617804	7.86579319789114	7.5584975529104605	8.36342375883427	7.7854288224791395	8.33294031680655	7.63973494198079	7.7853543844486	6.96902485964558	7.25172379745023	6.436588543498759	7.395971791529861	8.14210425361991
ADPRHL1	8.26183151774644	6.1241127900784695	7.09431275321527	4.81035549062362	4.98226075042763	5.72643469382145	7.17346456607269	7.20911448745628	7.42825703202633	7.7984947414714805	5.386791085141821	7.64143186901379	6.11932127136628	5.69921087884094	6.998017660618019	7.73214557727675	5.647020615414929	6.364601846166741	6.9851442779338395	7.7950607628419295	4.852261475619001	7.31007006267465	7.11812410999545
FAM117B	8.3714562890981	7.94799285914011	7.83834412677795	7.594565172394661	7.30501229307425	8.615220787861249	8.36496699657453	7.825746946084401	7.876451557232599	8.02524079659742	8.04752784289976	8.000972403712911	8.26367481182092	7.5511580064262	7.775750017071299	8.01564151124937	8.11079471563194	8.39442566853527	8.01294347747649	8.10085399711352	8.12070790417728	8.33545359962893	8.37119782133808
SLC36A1	6.36995844810887	6.37369066338617	5.76524501137746	6.29638554615299	6.7921034535330405	7.126789844828731	7.984727529869731	5.515314500532289	5.83227792853799	5.97938812924009	5.84285642372357	5.14226540290567	5.52301940071484	5.4816102668117095	6.784748359272901	4.472881469507731	5.67888141872556	7.57732417219908	6.645856512906571	5.770909633889261	5.461627073478991	6.682312052073151	5.863676715263179
MIER3	4.34456854707631	3.83871028939776	6.49668033205516	7.15859828797555	2.64610181378374	4.6359291754387995	2.46647468613551	4.9861601029631295	3.5758748962618	8.39123099936068	6.62359542404855	2.1854403324401	7.842706258578321	7.61849976799098	6.33943439342137	5.4827416255078205	7.334674698744731	2.0679924641757803	3.8489596843571205	6.15935984603628	3.5012725090356405	7.15002552262369	6.95070619194363
COX6B2	8.1432468058913	8.13494217885664	9.03819611949059	8.386905521100768	8.25584230835463	8.05992565654644	8.234034734572951	8.48292585165008	8.742649178131469	8.872980576119721	8.5370831692102	8.389178751356999	8.26573535590566	8.30694197075931	8.07671906149296	7.86779867732862	7.951174955216381	8.27921977248984	8.44659114195056	8.65643795652503	7.8613657194265105	8.303640996305669	8.494806522027691
EPHA10	7.74497525503734	7.57338299486161	6.666985133027789	6.613338838692879	7.53110524765738	6.83101415215157	7.0477082243499805	7.294636168186799	7.274713551046339	7.51632727416942	5.8077815617883095	6.60623168648887	7.030329357109281	6.96844681870522	6.454860023850401	6.65007059778263	6.915447521255371	6.94560609971783	7.384110237385349	7.24123532775238	4.59138022055131	6.58495860844491	6.34371530388546
JPH1	7.5410404711502	7.6388623166930305	8.12631140233092	8.06326373343164	7.153876385034031	7.68686936874781	7.23798670803897	7.318292624464981	8.1427402895229	8.131253160264981	7.476111075854959	7.6041389632436	8.075838668683058	7.78137632409512	7.2609670442263194	7.774968485210559	7.94269633210199	7.1475193727459905	7.18222929567714	7.47162969766147	6.498527857534469	7.744267113610821	7.700030392465661
SLC29A2	7.56923595924792	5.0836778072410596	5.49439810465271	7.654775530035661	7.2682657062241605	7.81052044868391	5.456802076042	6.85699696546025	7.291718041255191	8.00729542902364	7.39568056104249	6.43162103767853	7.52331212864469	6.6746149070511605	7.294209862297469	7.34259883347309	7.689922599987691	7.674483567777691	6.774669847396151	6.569820968047839	7.161795566581709	7.88272009700059	6.472903867235059
ILDR1	5.448492922545119	3.2619163348855698	6.363693643961071	5.53461480551158	3.91901222063326	3.7459731233463596	3.07060331178572	3.44354631691957	3.05253709909378	5.77967106098027	3.37858680790155	4.8783269516109	6.51311083535629	4.68770829959716	4.28665578299527	3.801315543236	6.32936318220363	3.66976232974944	4.47263814183883	5.22848229173943	4.4236942676308	6.0426192563574	4.38504214740775
DDAH1	6.97864089922495	5.501925343810179	7.61611702923872	7.71718053051245	6.6345693540091	5.00112175510215	5.85121108443429	6.34812446806576	7.1869115756614805	8.35655016258101	6.84116667202135	7.75391061389771	7.958641211545401	8.28836440421075	7.922188575767749	6.971897482371809	7.8425782335128895	3.0679381000954	6.761846309858071	7.941422083129161	6.636405357734691	6.175499152108119	7.255706047655059
PPARGC1B	7.38393601215438	7.92649517080727	6.680791412834059	5.714945178736451	7.68530658832152	8.78038006648121	4.82985295859483	6.7465780737504994	6.95746812034438	6.15503112623071	7.81601058605166	7.459258124127059	8.09802260010539	8.1668310427015	6.34781868652513	7.09864448757975	7.976838356899131	8.02929144045995	4.88192479970921	7.425111387537201	8.72349294725257	8.586666642910942	7.895372997053809
KLC4	7.043223914314411	7.368957594385071	6.6524991578816906	6.443849953146301	7.196884682670389	5.68060237520021	5.77307760644834	6.7043504283235995	6.89229729626667	7.69598574941283	4.0774662233355	6.76496652026307	7.11645088827162	6.5592470757602594	7.32158918405143	6.29402765176692	7.47820304166183	7.14928553565599	4.68788641730412	7.35919150491942	4.2453490128087505	6.60230163221603	7.436346188007651
FAM195A	10.419439851355401	9.896112943160269	10.8790002110384	10.400130122324699	9.6973815376826	11.047171850928303	9.96023822934997	10.5776085003601	10.535281191136699	10.554742705364902	10.473140277875801	10.7525182613874	11.327070830358698	10.2176555724308	10.576071518230302	10.812219912532301	11.0902245444775	10.4007351019359	10.6997248339156	10.650499927089198	11.0518206322159	11.238669900935099	10.891850623733301
