Name	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes
ACOX1	4.43559591440862	3.9974217699107997	4.03426145957918	5.61619339345649	6.692563982179331	4.673256856410969	5.0947179479514	4.99777456934183	5.548598367050481	4.0933443240508804	5.799552935246941	4.382082968230759	4.50096353013713	3.8755888495190605	4.3987020736277405	5.22155478533116	6.08559790916587	4.64381272550607	6.232395807399159	4.454085400490951	5.35754536312149	4.213876982783081	4.4933776338005	6.5996391780018495	4.25212652429438	6.148165258792259	5.91738537187693	5.4668792675119	4.50939601913617	5.903751805904981	5.63603459190505	5.23802832983647	6.293153034444599	4.9582198995484195	4.65526687978606	5.76276489281305	5.3085430906557995	6.183059985329901	4.00282283899384	4.36051579080063	4.53074806307989	5.2732100402952895	6.378449098047151
ACSF2	2.92240986180187	2.57738149630325	1.99030716333496	3.83333940212682	5.6046020165217	3.2317756044122703	3.17603018601454	3.1037703172781606	4.23368879385205	2.68703885367096	4.98948312217766	2.70821823372229	3.1818005317467404	3.24914030814443	2.01475233420027	3.13464834390239	4.595101773188451	3.26422107170525	4.45063860121312	2.47526818557927	3.1341446285127206	2.42179340607907	3.18909145210231	4.587973818274059	2.3053895052014504	4.90658557119019	4.247285425450951	3.5732212476075698	2.3810783609652795	4.0932783106230195	4.39283690216432	2.88041355468849	4.41419120146144	2.5463513031426497	3.3417975891886402	3.9697040043036003	3.0248359417933197	4.974670992345559	2.40564944202037	3.03090334924242	2.53515678839707	3.9225160241088597	5.63059557254614
ACSL3	5.4524030152373895	4.541845393314491	4.49274187951615	4.4863624579835095	4.79275430444893	5.172289164258769	4.41075191734575	4.16645279005649	4.749643236192299	5.53456964486232	3.85508002655998	5.7139143232046505	5.07912250751421	1.3455826646497802	5.70522818184178	5.889525355105361	5.28603512224186	5.16844062307699	4.51473680937733	6.049119901650981	4.77332125034993	5.31130645863578	5.77360195731587	4.63447979946585	5.2863546442868605	4.11778713632104	5.571833854487151	5.80246110523412	5.5551055467662405	3.7360270874542003	4.22351625152327	6.0887218750614	4.36972955047648	5.7513181164261695	5.62606070063822	5.21464480443994	4.82278470413412	4.79115416570591	4.66729438972564	5.67851989301265	5.8780072321488	4.9296108950189295	3.80464343406112
ACSL5	7.3185772794663295	6.5665347634653095	5.58665996789023	7.35886563222245	9.65784528792781	7.7537609629214295	8.46308586204737	8.511709033286099	8.741492821725389	7.28718074783935	8.89840770412578	7.390848279248919	7.586010676975469	6.882766858944559	7.58812826148695	7.5944991485527895	8.00162096577907	7.57208884276976	9.392676991780132	8.09967522801695	8.518120989762519	7.192364037894911	7.45006620655638	9.82193747967623	6.92454120267032	9.17096966759246	8.23707560734735	7.884675735553781	7.6864276438280905	9.263415050923788	8.86886001705106	8.29779621819844	9.64025152814381	7.5537814204635	7.63777507596654	7.797367767627129	8.33883587998027	9.20999982339194	6.16808052523241	7.20295360865203	7.6199865164825304	7.853879470324169	9.38754536068445
ACSM3	3.4414674455462997	2.52726863465805	2.64022907346629	2.602128464061	2.9310400058120494	3.97046903072388	1.3550468685852501	1.6388437722748999	1.59660001962534	3.67341045829927	0.6811341316461	3.41901608080468	5.11266254574355	-0.5187475108142521	3.11362680500292	3.7273685031128596	4.65176698119938	2.55448543175394	2.32983573423783	4.17409969619155	2.2211964486328797	3.7171753916877095	4.20280227726467	1.7717476021447598	3.04734238216331	2.38248271270131	4.89231537603414	4.474710301620231	4.03750100001405	0.344499502147969	1.93551055706101	3.51159890223823	2.50130971575636	3.79282368827035	3.17856122893825	3.2231073363373195	2.84289179784098	2.65195398713655	1.50576529684416	4.182412790609029	3.7465822264255695	4.28043819734713	2.28921501842353
ACSS2	5.922727629617749	4.76536583452203	4.10420263984291	6.9615522496063305	6.59402287250162	6.6387569149631	5.826497271864691	6.06299228607694	6.01083532220966	5.507105753304911	5.869987063707111	5.21728431846727	6.020139153186849	4.501263734749889	5.84131504163511	6.60249480339205	7.214403878341191	6.4638335439374295	6.2649159522437	5.917125851493339	6.055307434410089	5.613695011049661	5.2615342219114005	6.45283961712276	5.14016410307574	6.19788300816317	7.26100194726102	6.6818703553619505	6.218164288291909	6.32531941756202	6.24740051571732	6.70732426070614	6.438012234751509	6.677733574587069	6.1417704682084295	6.7576608873382105	6.38667506665632	6.5469551449117604	5.240006222085481	5.50258841947363	5.72512373893996	6.63518871992252	6.33539994997959
ACVR1B	4.723986575884441	3.8949151575704404	3.6821295482336	4.74515735311281	5.577288983526519	5.08933519378978	4.20061290309043	4.67806182598889	4.895461889972349	4.48243493539672	4.19843397329605	4.52971479775387	4.69090681601183	2.43000077376569	4.74099178640895	5.15076972815113	5.945887240252019	4.83807453728497	4.91547673264067	4.91136889955253	4.62746920922352	4.76759546562839	4.650208064085941	5.34897553208155	4.19118382828582	5.0398230062119005	5.20827449784246	5.26133490285224	5.040341204623809	4.786399091637099	4.8596156642927095	4.72757614848284	5.14464901424653	5.03693941004574	4.6101956645317	5.18765738734114	5.01681170004571	5.833082666123249	3.90673971505696	4.27833143180267	4.6993301250854405	5.1082650739806	5.254079981301049
ACVR1C	2.5129582897822202	0.77637321601807	-0.6425533818920961	2.29759431699696	2.94676513327475	2.34848963999711	1.86288571834543	2.27299907181649	2.29454175276547	0.981576963223093	1.5368962848265901	1.69529086333017	2.35422133016629	-0.726279259078848	0.986379674616116	2.5579863442999	4.11318804563169	0.7293409981177671	2.50559853373457	1.4826297377283302	2.6209755525356098	1.6167819614038998	1.9032862049672499	2.58927095103756	0.364497670314387	3.0844941101504904	3.21428768048299	2.9554809081822504	2.75456781191223	1.79987093201401	2.21657854497417	2.0474521281680103	2.85302936359927	2.99384133553338	2.43948533822792	2.72415702043487	2.20963832836656	2.9452883249906003	-0.07464858094556	1.2933614878006299	1.3236837386228602	3.07015598955567	3.07862422545494
ACY1	-0.267862249554357	-0.6510658738180439	-0.93203586571925	-0.14501043333713298	2.08104355963347	0.178673912937794	2.3045047033684702	2.14725746965033	2.73971855720169	-0.413358568383514	3.29466101214298	0.274413372103143	0.0718137767306205	1.8127099771184498	-0.372162552660022	0.7571117019299829	1.19302294695326	-0.03007366033499	2.3451815046775097	-0.40960576118244	1.7566079865403101	-0.4310886499107461	-0.325550354422156	2.50809625642587	-0.0953420196356149	1.14417769092188	0.314170089538485	0.481988790791803	-0.23011229566836	2.30592997859726	1.89281625366692	-0.017521364719806	2.8987196722911603	-0.05336042086988701	0.307637461367629	-0.11105074357219301	0.19478709512341197	1.8833052550048799	-0.28022771381078304	-0.067950032697916	-0.643057410226855	-0.329545924787911	3.2669981215316097
ADAP1	3.2569449701845	1.57964083417867	3.0535217008977202	4.41368394976968	2.4950333981477097	2.3651608962669	3.30358325712132	3.7379065959481	2.7047173467644603	4.0910053604127405	4.42738073945547	2.41240183774105	3.69852816779986	3.2475845903169502	3.52089923574853	2.29794825783882	4.02342783831086	3.1309122056038396	2.5171689183115	2.3487813917284	3.5015852592293797	3.50952088981531	2.9482827295619	3.92885362271958	2.02953432488062	3.02547643482373	4.45269543853217	3.9868320597571496	3.57281163764563	2.85693677587737	3.8329727610028197	4.5285905929724	2.4450129505565	4.18010359740168	1.9795512718669799	4.15297067783967	3.64085292565009	2.9138092939763904	2.58895121207502	4.12218865239185	2.23177418173873	2.21125641342975	3.21595801609735
