Name	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes
DENND1B	3.62058641045188	4.30742852519225	4.5849625007211605	2.8073549220576	4.65535182861255	1.26303440583379	4.32192809488736	4.452858964713809	0.37851162325373	1.67807190511264	4.60880924267552	3.78659636189081	2.20163386116965	3.86789646399266	2.13750352374994	1.67807190511264	4.112700132749359	1.20163386116965	0.0	1.32192809488736	4.07895134139482	2.8479969065549504	3.76553474636298	3.7970129778361406
B4GALNT2	2.23266075679027	5.81762325751143	5.12515513132229	3.6322682154995096	3.92599941855622	1.88752527074159	2.8875252707415897	5.15380533607904	5.15785216914174	5.8073549220576	4.2016338611696495	4.85798099512757	1.26303440583379	5.244125943283731	4.02680005934372	2.51096191927738	6.0400156788478805	3.4724877714627405	4.977279923499919	4.70597790168252	5.7279204545632005	4.73876783680019	4.90689059560852	4.29278174922785
PDE8A	7.253611151947171	7.66888498426625	7.124121311829191	7.51648798090997	7.85486838326024	7.745506265869159	7.322829497628889	7.197708157955849	7.52042224852645	8.2588015567116	7.60139939053183	7.286326727090549	7.456149034648	8.143128072943808	7.15583017155653	6.888743248898259	8.02901108665907	7.799605422452671	7.6582114827518	7.66106547980695	7.492654371018911	7.57818396809009	8.51924309436118	7.9086928382425
SUOX	5.48220292629596	6.024585638278269	5.9864109352520405	6.035623909730719	5.378511623253731	5.90207357931074	5.62935662007961	5.96347412397489	6.16188768237689	6.4982508675278305	5.5109619192773796	5.08746284125034	5.395748328179031	6.29094040240368	5.42290574261218	5.94485844580754	5.68088692071969	6.17592374206376	6.187846909439571	5.7681843247769296	6.215290305651231	6.10643207781693	6.20163386116965	5.456149034648
WFDC2	1.0	1.76553474636298	3.68929916053589	1.72246602447109	5.07895134139482	2.56071495447448	3.2479275134435897	2.29278174922785	0.584962500721156	5.46597446450407	1.13750352374994	3.0531113364595597	2.51096191927738	3.2927817492278497	4.60880924267552	3.0179219079972595	1.26303440583379	2.26303440583379	2.96347412397489	4.49825086752783	4.32912359629157	0.485426827170242	1.8073549220576	0.584962500721156
PTK6	8.56719556140687	8.52982094652869	7.80219321694183	8.0389189892923	8.53099149023663	8.71046207397916	8.51963625284321	8.50937914891469	8.41320478925258	8.70666868217975	7.75888943272096	7.33806779754262	8.84329297333358	7.42038134119664	8.21383328309929	7.68299458368168	8.26303440583379	8.46025109894385	8.28123458464702	8.17292748960384	8.625343557572991	8.67207169690516	8.47411151394241	9.03287224946323
STK38	8.24079133216196	7.825912798784981	7.64241277290506	8.10328780841202	8.69313843834293	8.17642251304224	8.29966594413018	8.4093909361377	8.34118521356844	8.1853710292354	8.11997860965488	7.844862655830821	8.37590826307501	8.42919748847991	8.77840572423918	7.48220292629596	8.278914019499942	8.37981154378699	8.30879406721648	8.30286736097287	8.65320336203398	8.13750352374993	8.994070527741199	8.66640155434373
KDM1B	6.053111336459559	5.03121873061072	4.85798099512757	4.82273014794452	5.378511623253731	5.62643913669732	3.9354597478052904	5.875288598222691	5.799605422452671	6.0156938071051504	5.529820946528701	4.08746284125034	5.746850183098051	5.56071495447448	5.99548451887751	6.06824086131282	6.51727569320958	6.44956137461324	5.0746766862945005	5.5668151540109	5.20163386116965	5.6752513860502605	5.590961241342599	5.8201789624151905
ADPRHL1	5.563768278452031	5.746850183098051	5.41616416473313	2.8073549220576	5.18586654531133	5.35049724708413	4.807354922057599	5.63226821549951	3.0179219079972595	3.73335434061383	5.73063995591679	3.54843662469604	5.799605422452671	4.25550073314839	5.2364926183813	4.897240425574799	6.65963918701565	2.9448584458075397	4.91169158187234	2.8479969065549504	4.92124588858559	5.15785216914174	4.90207357931074	6.4262647547021
FAM117B	5.708739041359579	6.07681559705083	4.74416109557041	5.73063995591679	5.643856189774719	5.47897180503294	5.617651119427331	5.97727992349992	5.614709844115209	5.949534933017009	5.90207357931074	6.38887833881199	6.04220656012069	6.49984588708321	5.646738698307849	6.08746284125034	6.66106547980695	6.57288966842058	5.94485844580754	5.84297883178833	5.882643049361839	6.432959407276111	6.06824086131282	6.02236781302845
