Name	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes
GIPC2	7.114052074	7.873592522	8.542645672	8.314662757999999	8.544406171	8.395774028	8.038601889	7.505717682	8.168544811	8.219274005	8.051188691	7.600143401	6.80897085	7.951947111	8.688105038	8.139542141	8.602102459	7.556507575	8.07541631	8.24048478	9.049145266	8.339619247	8.354662354
PRKACB	8.955378711	9.056233018	9.164099631000001	9.075124927000001	9.262569317999999	9.014108182000001	9.152046966	8.343521899	8.661624482	8.818866793	8.745862115	8.858894467	8.425801879	9.299045457	8.604756132	8.916614716	9.156238341	8.860722425	8.75304022	8.998741312	9.058731824	9.262527455	9.16172792
SAMD13	5.110271102	6.2493587129999995	6.497411494	6.321174064	6.668509133	6.1089578079999995	6.479588849	5.299368745	6.603523233	5.927643794	6.141985801000001	5.7885397229999995	4.916572715	6.347921792	5.845226819	6.078510152000001	6.3372354689999995	5.648080168	5.717761966	6.465609996	6.566949065	6.2263251639999995	6.610294949
ABCD3	8.126735819	8.685832051	9.308135545	9.059816762	9.233790072	8.927799569	8.973877143	8.215790995	8.535631232	8.66090152	8.680928416	8.565797052	8.078273151	8.95421362	8.92864921	8.923940203999999	9.220875868	8.44583162	8.687542599	9.050649795	9.420328162999999	9.188160655	8.943565772000001
TMEM56	7.419045014	7.518909795	7.492128609	8.085564361	8.397704528	6.9781697220000005	8.155171985	7.54197926	7.324355547000001	7.862733638	7.674191082999999	7.682806035	7.451887091000001	8.392020337	6.616002237999999	7.5866872579999995	6.41371327	7.243107723	7.41598825	8.53214472	8.960204462	7.969186506000001	8.424141167
SNX7	6.233611338999999	6.667603505	7.428298955	6.97089659	7.124653805	7.320026365	7.324668957	6.574133835	6.797735035	7.08298857	6.818492657	6.685403054	5.870250413	7.131214376	7.296890867999999	7.174396187999999	7.3907343139999995	7.016947162999999	6.899227739	6.857004562	7.324612377999999	7.295505516	7.241917416000001
SLC35A3	8.895196387999999	9.338634929	9.761213885	9.713320118	9.805162787999999	9.834342578	9.564937699	8.926087561000001	9.118586116	9.487594978999999	9.001841962	9.127232707000001	7.8628070260000005	9.728780605	9.848698291	9.577810042000001	10.17930609	9.182288562	9.408550153	9.396169143	10.12004372	10.19220114	9.686675772000001
GSTM4	7.689351485	7.78000493	8.568365665	8.619451068	8.218660193	9.2914966	8.500328285	9.129576399	8.415974071	8.785159686	8.354047292	8.304787875	8.447913708	8.086314267999999	8.79396987	9.277456973	9.005970903	8.524600058999999	9.073039618	8.678560704	9.025495119	8.719203298	8.73305402
ATP5F1	7.919954235	8.056043613	8.407237159	8.152045108	8.587330134	8.236283005	7.984104625	7.74551677	7.933612051	8.17564929	7.997741046	7.991576079	7.511281904	8.06764722	8.347912739	8.060632775	8.414134222000001	7.744679066000001	8.10823075	8.239179823999999	8.927787274	8.087374298	8.051993671
VANGL1	7.147640321	7.252268552	7.677842312	7.4831953229999995	7.722819202	7.892099555	7.9554689089999995	7.41233118	7.460938775	7.585250256	7.308631499	7.153691027000001	7.170426186	7.7668117489999995	7.668617441	7.540380295	7.631840703	7.587516474	8.079283106	7.6075599160000005	7.867457384	8.290542441	7.571599087999999
